Kinjo Ramen - Closed checks with tips
Export window: 08/10/2026 12:00 AM - 08/17/2026 03:00 AM
Check #,Closed date,Closed time,Server,Tender,Check total,Tip,Status
40044,08/10/2026,12:20 AM,Sarah Reed,Visa,36.35,7.27,Closed
40071,08/10/2026,12:40 AM,Laura Stewart,Visa,82.76,16.55,Closed
40265,08/10/2026,5:07 PM,Aisha Carter,Discover,158.50,27.87,Closed
40227,08/10/2026,5:17 PM,Jessica Murphy,Visa,37.34,8.84,Closed
40280,08/10/2026,5:25 PM,Anthony Gonzalez,Discover,38.74,8.93,Closed
40249,08/10/2026,5:30 PM,Aisha Carter,Apple Pay,45.61,9.34,Closed
40270,08/10/2026,5:36 PM,Anthony Gonzalez,Visa,104.00,22.91,Closed
40275,08/10/2026,5:36 PM,Laura Stewart,Apple Pay,75.87,17.39,Closed
40289,08/10/2026,5:38 PM,Gary Brown,Apple Pay,25.13,4.44,Closed
40240,08/10/2026,5:42 PM,Jessica Murphy,Visa,151.58,26.35,Closed
40269,08/10/2026,5:45 PM,David Allen,Amex,93.83,14.37,Closed
40279,08/10/2026,5:51 PM,Gary Brown,Apple Pay,151.21,36.08,Closed
40257,08/10/2026,6:04 PM,David Allen,Amex,135.66,23.13,Closed
40283,08/10/2026,6:11 PM,David Allen,Visa,60.64,10.75,Closed
40256,08/10/2026,6:15 PM,Sarah Reed,Amex,164.45,30.60,Closed
40268,08/10/2026,6:19 PM,Jessica Murphy,Visa,161.57,27.93,Closed
40278,08/10/2026,6:22 PM,David Allen,Discover,27.61,4.27,Closed
40245,08/10/2026,6:27 PM,Anthony Gonzalez,Cash,131.12,0.00,Closed
40225,08/10/2026,6:31 PM,Jessica Murphy,Discover,107.35,23.53,Closed
40222,08/10/2026,6:42 PM,Anthony Gonzalez,Visa,104.56,0.00,Closed
40266,08/10/2026,6:45 PM,Jessica Murphy,Cash,83.52,0.00,Closed
40224,08/10/2026,6:47 PM,Jessica Murphy,Amex,62.76,11.94,Closed
40250,08/10/2026,7:03 PM,Sarah Reed,Mastercard,82.31,14.27,Closed
40238,08/10/2026,7:11 PM,Gary Brown,Amex,122.91,22.94,Closed
40253,08/10/2026,7:12 PM,Sarah Reed,Visa,146.68,24.19,Closed
40242,08/10/2026,7:17 PM,Gary Brown,Cash,97.38,0.00,Closed
40273,08/10/2026,7:18 PM,David Allen,Mastercard,123.12,28.83,Closed
40277,08/10/2026,7:21 PM,Deborah Parker,Visa,139.77,33.25,Closed
40261,08/10/2026,7:25 PM,Jessica Murphy,Mastercard,37.34,6.94,Closed
40233,08/10/2026,7:27 PM,Jessica Murphy,Apple Pay,122.12,28.47,Closed
40263,08/10/2026,7:30 PM,Gary Brown,Discover,93.78,20.10,Closed
40287,08/10/2026,7:34 PM,David Allen,Cash,139.76,0.00,Closed
40221,08/10/2026,7:36 PM,Jessica Murphy,Apple Pay,63.49,0.00,Closed
40258,08/10/2026,7:49 PM,Deborah Parker,Mastercard,98.66,0.00,Closed
40282,08/10/2026,7:51 PM,Jessica Murphy,Discover,32.05,5.56,Closed
40264,08/10/2026,7:54 PM,Laura Stewart,Mastercard,99.31,15.31,Closed
40247,08/10/2026,7:55 PM,Deborah Parker,Cash,62.08,0.00,Closed
40244,08/10/2026,8:06 PM,Deborah Parker,Visa,28.97,6.20,Closed
40288,08/10/2026,8:14 PM,Deborah Parker,Visa,81.77,13.20,Closed
40236,08/10/2026,8:24 PM,Deborah Parker,Discover,112.92,23.26,Closed
40276,08/10/2026,8:42 PM,Anthony Gonzalez,Cash,126.52,0.00,Closed
40284,08/10/2026,8:42 PM,Anthony Gonzalez,Apple Pay,155.85,36.32,Closed
40271,08/10/2026,8:46 PM,Anthony Gonzalez,Discover,32.91,7.14,Closed
40231,08/10/2026,8:51 PM,Anthony Gonzalez,Amex,135.63,24.49,Closed
40286,08/10/2026,8:54 PM,Deborah Parker,Apple Pay,103.81,20.58,Closed
40262,08/10/2026,9:18 PM,Gary Brown,Mastercard,91.69,15.70,Closed
40229,08/10/2026,9:21 PM,Aisha Carter,Amex,79.23,16.71,Closed
40285,08/10/2026,9:25 PM,Jessica Murphy,Apple Pay,146.38,23.67,Closed
40243,08/10/2026,9:26 PM,Anthony Gonzalez,Visa,25.43,4.78,Closed
40255,08/10/2026,9:34 PM,Sarah Reed,Cash,44.62,0.00,Closed
40230,08/10/2026,9:35 PM,Aisha Carter,Cash,71.03,0.00,Closed
40260,08/10/2026,9:35 PM,Laura Stewart,Apple Pay,151.51,31.77,Closed
40226,08/10/2026,9:57 PM,David Allen,Amex,162.00,37.48,Closed
40254,08/10/2026,10:01 PM,Deborah Parker,Mastercard,90.67,15.74,Closed
40274,08/10/2026,10:07 PM,Laura Stewart,Apple Pay,46.71,9.69,Closed
40259,08/10/2026,10:10 PM,Sarah Reed,Mastercard,21.81,4.24,Closed
40234,08/10/2026,10:12 PM,Sarah Reed,Amex,154.73,29.47,Closed
40223,08/10/2026,10:15 PM,Laura Stewart,Mastercard,57.68,9.42,Closed
40251,08/10/2026,10:17 PM,Aisha Carter,Amex,72.00,15.38,Closed
40239,08/10/2026,10:27 PM,Aisha Carter,Discover,43.57,9.85,Closed
40246,08/10/2026,10:30 PM,Aisha Carter,Amex,130.87,22.08,Closed
40267,08/10/2026,10:35 PM,Laura Stewart,Visa,42.94,0.00,Closed
40252,08/10/2026,10:43 PM,Laura Stewart,Apple Pay,23.00,5.37,Closed
40235,08/10/2026,10:47 PM,David Allen,Apple Pay,104.99,0.00,Closed
40232,08/10/2026,10:54 PM,Sarah Reed,Discover,111.62,22.34,Closed
40272,08/10/2026,10:56 PM,David Allen,Discover,151.87,31.41,Closed
40248,08/10/2026,11:02 PM,Jessica Murphy,Amex,154.09,30.85,Closed
40237,08/10/2026,11:03 PM,Gary Brown,Cash,140.67,0.00,Closed
40241,08/10/2026,11:07 PM,Gary Brown,Apple Pay,85.36,16.35,Closed
40281,08/10/2026,11:07 PM,Jessica Murphy,Apple Pay,162.55,28.04,Closed
40228,08/10/2026,11:15 PM,Sarah Reed,Cash,124.39,0.00,Closed
40307,08/11/2026,11:30 AM,Anthony Gonzalez,Discover,75.64,0.00,Closed
40319,08/11/2026,11:57 AM,David Allen,Amex,20.97,3.39,Closed
40291,08/11/2026,11:58 AM,David Allen,Amex,69.95,14.10,Closed
40299,08/11/2026,12:12 PM,David Allen,Cash,60.87,0.00,Closed
40313,08/11/2026,12:24 PM,Laura Stewart,Cash,122.31,0.00,Closed
40305,08/11/2026,12:25 PM,David Allen,Apple Pay,84.73,16.63,Voided
