Employee,Job,Date,Clock in,Clock out,Paid hours
"Diaz, Margaret",General Manager,Mon 08/10/2026,4:15 PM,10:00 PM,5.75
"Green, Susan",Line Cook,Mon 08/10/2026,4:30 PM,10:45 PM,6.25
"Parker, Deborah",Bartender,Mon 08/10/2026,4:30 PM,10:30 PM,6.00
"Brown, Gary",Bartender,Mon 08/10/2026,4:45 PM,11:15 PM,6.50
"Gonzalez, Anthony",Shift Lead,Mon 08/10/2026,4:45 PM,11:30 PM,6.75
"Stewart, Laura",Server,Mon 08/10/2026,4:45 PM,9:45 PM,5.00
"Williams, Patricia",Line Cook,Mon 08/10/2026,4:45 PM,9:45 PM,5.00
"Allen, David",Server,Mon 08/10/2026,5:00 PM,11:30 PM,6.50
"Johnson, Anna",Dishwasher,Mon 08/10/2026,5:00 PM,11:30 PM,6.50
"Okafor, Ingrid",Host,Mon 08/10/2026,5:00 PM,9:30 PM,4.50
"Ramos, Sandra",Busser,Mon 08/10/2026,5:00 PM,10:15 PM,5.25
"Wright, Laura",Busser,Mon 08/10/2026,5:00 PM,11:00 PM,6.00
"Wright, Laura",Busser,Tue 08/11/2026,10:15 AM,2:45 PM,4.50
"Green, Susan",Line Cook,Tue 08/11/2026,10:30 AM,3:15 PM,4.75
"Parker, Deborah",Bartender,Tue 08/11/2026,10:30 AM,2:45 PM,4.25
"Carter, Aisha",Server,Tue 08/11/2026,11:15 AM,3:30 PM,4.25
"Price, James",Host,Tue 08/11/2026,11:15 AM,2:45 PM,3.50
"Ruiz, Timothy",Dishwasher,Tue 08/11/2026,11:15 AM,3:00 PM,3.75
"Stewart, Laura",Server,Tue 08/11/2026,11:15 AM,3:15 PM,4.00
"Williams, Patricia",Line Cook,Tue 08/11/2026,11:15 AM,3:30 PM,4.25
"Green, Susan",Line Cook,Tue 08/11/2026,4:15 PM,9:45 PM,5.50
"Price, James",Host,Tue 08/11/2026,4:15 PM,10:15 PM,6.00
"Ruiz, Timothy",Dishwasher,Tue 08/11/2026,4:15 PM,11:15 PM,7.00
"Carter, Aisha",Server,Tue 08/11/2026,4:30 PM,11:30 PM,7.00
"Ramos, Sandra",Busser,Tue 08/11/2026,4:30 PM,9:45 PM,5.25
"Wright, Laura",Busser,Tue 08/11/2026,4:30 PM,11:30 PM,7.00
"Brown, Gary",Bartender,Tue 08/11/2026,4:45 PM,11:15 PM,6.50
"Parker, Deborah",Bartender,Tue 08/11/2026,4:45 PM,9:30 PM,4.75
"Stewart, Laura",Server,Tue 08/11/2026,4:45 PM,11:00 PM,6.25
"Williams, Patricia",Line Cook,Tue 08/11/2026,4:45 PM,9:30 PM,4.75
"Murphy, Jessica",Server,Tue 08/11/2026,5:00 PM,11:15 PM,6.25
"Green, Susan",Line Cook,Wed 08/12/2026,10:15 AM,3:00 PM,4.75
"Murphy, Jessica",Server,Wed 08/12/2026,10:30 AM,3:45 PM,5.25
"Brown, Gary",Bartender,Wed 08/12/2026,10:45 AM,3:45 PM,5.00
"Price, James",Host,Wed 08/12/2026,10:45 AM,3:15 PM,4.50
"Reed, Sarah",Server,Wed 08/12/2026,10:45 AM,3:30 PM,4.75
