Tuition invoices - Autumn 2025 term (closed)
Invoice No,Family ID,Student,Program,Term,Amount,Due
INV-2025-4002,F-1200,Susan Ward,Toddler,Autumn 2025,"$4,608.00",2025-09-10
INV-2025-4004,F-1201,Leila Foster,Toddler,Autumn 2025,"$4,608.00",10-Sep-2025
INV-2025-4006,F-1202,Aisha Ortiz,Toddler,Autumn 2025,"$4,608.00",09/10/2025
INV-2025-4008,F-1203,Ashley Wright,Toddler,Autumn 2025,"$4,608.00",2025-09-10
INV-2025-4010,F-1204,Steven Nguyen,Toddler,Autumn 2025,"4,608.00",10-Sep-2025
INV-2025-4012,F-1205,Elizabeth Bennett,Toddler,Autumn 2025,"4,608.00",09/10/2025
INV-2025-4014,F-1206,Laura Hill,Toddler,Autumn 2025,"4,608.00",2025-09-10
INV-2025-4016,F-1207,Cynthia Ruiz,Toddler,Autumn 2025,"4,608.00",10-Sep-2025
INV-2025-4018,F-1208,Ronald Gomez,Toddler,Autumn 2025,"4,608.00",09/10/2025
INV-2025-4020,F-1209,Jessica King,Toddler,Autumn 2025,"$4,608.00",2025-09-10
INV-2025-4022,F-1210,Mark Green,Toddler,Autumn 2025,"$4,608.00",10-Sep-2025
INV-2025-4024,F-1211,Dorothy King,Toddler,Autumn 2025,"$4,608.00",09/10/2025
INV-2025-4026,F-1212,George Mensah,Toddler,Autumn 2025,"$4,608.00",2025-09-10
INV-2025-4028,F-1213,Kwame Watson,Toddler,Autumn 2025,"$4,608.00",10-Sep-2025
INV-2025-4030,F-1214,Eric Martin,Toddler,Autumn 2025,"4,608.00",09/10/2025
INV-2025-4032,F-1215,Christopher Peterson,Toddler,Autumn 2025,"4,608.00",2025-09-10
INV-2025-4034,F-1216,Chloe Bennett,Toddler,Autumn 2025,"4,608.00",10-Sep-2025
INV-2025-4036,F-1217,Emily Perez,Toddler,Autumn 2025,"4,608.00",09/10/2025
INV-2025-4038,F-1218,Mary Wood,Primary,Autumn 2025,"5,184.00",2025-09-10
INV-2025-4040,F-1219,David Thomas,Primary,Autumn 2025,"$5,184.00",10-Sep-2025
INV-2025-4042,F-1220,Luis Baker,Primary,Autumn 2025,"$5,184.00",09/10/2025
INV-2025-4044,F-1221,Patricia Hernandez,Primary,Autumn 2025,"$5,184.00",2025-09-10
INV-2025-4046,F-1222,Emily Clark,Primary,Autumn 2025,"$5,184.00",10-Sep-2025
INV-2025-4048,F-1223,Timothy Phillips,Primary,Autumn 2025,"$5,184.00",09/10/2025
INV-2025-4050,F-1224,Hiroshi Cruz,Primary,Autumn 2025,"5,184.00",2025-09-10
INV-2025-4052,F-1225,Ingrid Gonzalez,Primary,Autumn 2025,"5,184.00",10-Sep-2025
INV-2025-4054,F-1226,Mateo Ruiz,Primary,Autumn 2025,"5,184.00",09/10/2025
INV-2025-4056,F-1227,Joseph Howard,Primary,Autumn 2025,"5,184.00",2025-09-10
INV-2025-4058,F-1228,Amara Brooks,Primary,Autumn 2025,"5,184.00",10-Sep-2025
INV-2025-4060,F-1229,Yuki Campbell,Primary,Autumn 2025,"$5,184.00",09/10/2025
INV-2025-4062,F-1230,Nancy Gonzalez,Primary,Autumn 2025,"$5,184.00",2025-09-10
INV-2025-4064,F-1231,Gary Rogers,Primary,Autumn 2025,"$5,184.00",10-Sep-2025
INV-2025-4066,F-1232,Rahul Harris,Primary,Autumn 2025,"$5,184.00",09/10/2025
