Bank feed - tuition receipts
01/05/2026 through 06/30/2026
Payment ID,Received,Family ID,Payer,Applied to,Amount,Method,Status,Memo
PMT-8232,01/18/2026,F-1223,Phillips family,INV-2025-4048,"$5,184.00",ACH,Cleared,
PMT-8001,01/20/2026,F-1201,Foster family,INV-2026-4003,"$4,800.00",Card,Cleared,
PMT-8105,2026-01-22,F-1244,Lopez family,INV-2026-4089,"$6,200.00",Card,Cleared,
PMT-8140,27-Jan-2026,F-1255,Rodriguez family,INV-2026-4111,"$6,200.00",ACH,Cleared,
PMT-8200,27-Jan-2026,F-1279,Smith family,INV-2026-4159,$690.00,ACH,Returned,
PMT-8048,2026-01-28,F-1226,Ruiz family,INV-2026-4053,"$5,400.00",Bank transfer,Cleared,
PMT-8147,2026-01-28,,Phillips family,,"$6,200.00",ACH,Cleared,Ref INV-2026-4121
PMT-8191,28-Jan-2026,F-1276,Allen family,INV-2026-4153,"$1,150.00",Bank transfer,Cleared,
PMT-8125,30-Jan-2026,F-1250,Turner family,INV-2026-4101,"$5,270.00",Check,Cleared,
PMT-8030,2026-02-01,F-1214,Martin family,INV-2026-4029,"$4,800.00",Bank transfer,Cleared,
PMT-8010,02/05/2026,F-1206,Hill family,INV-2026-4013,"$1,520.00",ACH,Cleared,
PMT-8025,02/05/2026,F-1213,Watson family,INV-2026-4027,$960.00,Check,Cleared,
PMT-8042,2026-02-05,F-1222,Clark family,INV-2026-4045,"$1,080.00",Check,Cleared,
PMT-8055,02/05/2026,F-1229,Campbell family,INV-2026-4059,"$1,530.00",ACH,Cleared,
PMT-8064,02/05/2026,F-1232,Harris family,INV-2026-4065,"$1,080.00",Bank transfer,Cleared,
PMT-8078,2026-02-05,F-1236,Cook family,INV-2026-4073,"$1,080.00",Card,Cleared,
PMT-8083,05-Feb-2026,F-1238,Lopez family,INV-2026-4077,"$1,800.00",Bank transfer,Cleared,
