Juniper Hollow Event Rentals - payments and vendor refunds
01/01/2025 to 12/31/2025
Date,Payee,Memo,Method,Type,Amount
01/06/2025,Harbor Trust Equipment Loan,monthly,ACH,Payment,"$1,213.58"
01/08/2025,Pacific Gas & Power,monthly,ACH,Payment,"$2,721.76"
01/09/2025,Harborside Linen,deposit,Check #2582,Payment,"$1,657.64"
01/10/2025,Bayview Generator Svc,crew labor,ACH,Payment,$187.53
01/10/2025,Mensah Mobile Welding,balance due,Check #2877,Payment,$270.20
01/13/2025,Dana Whitfield,crew labor,Venmo Business,Payment,"$1,481.78"
01/14/2025,Tanaka Valet,event services,PayPal,Payment,"$1,583.19"
01/15/2025,Riverbank Sound,repairs,ACH,Payment,$999.47
01/16/2025,Pacific Gas & Power,monthly,ACH,Payment,"$1,195.30"
01/18/2025,Bello Event Design,rental support,ACH,Payment,$977.54
01/18/2025,Bello Event Design,rental support,Check #2608,Payment,"$1,703.85"
01/18/2025,Bello Event Design,balance due,ACH,Payment,"$1,810.10"
01/21/2025,Summit Forklift Rental,event services,Amex x1008,Payment,"$1,501.81"
01/23/2025,Mensah Mobile Welding,repairs,Check #2167,Payment,"$1,326.69"
01/23/2025,Tanaka Valet,crew labor,PayPal,Payment,"$2,141.85"
01/23/2025,Tomasz Kowalczyk,balance due,Zelle,Payment,"$2,303.42"
01/24/2025,Oak & Ember Catering,balance due,ACH,Payment,"$2,263.33"
01/29/2025,Pacific Gas & Power,monthly,ACH,Payment,"$2,849.61"
02/01/2025,Harborside Linen,invoice,ACH,Payment,"$2,325.74"
02/03/2025,Tentline Crew LLC,crew labor,Check #2795,Payment,$647.48
02/03/2025,Tentline Crew LLC,invoice,Check #2203,Payment,"$1,126.01"
02/04/2025,Bayview Generator Svc,invoice,Check #2365,Payment,$547.80
02/04/2025,Hollis Tent Repair,crew labor,Check #2818,Payment,$975.92
02/13/2025,Northbeat DJ Services,deposit,Zelle,Payment,"$2,229.91"
02/13/2025,Riverbank Sound,event services,ACH,Payment,"$1,496.50"
02/15/2025,Graystone Portable Toilets,balance due,Check #2354,Payment,"$1,594.06"
02/22/2025,Bello Event Design,deposit,Visa x4417,Payment,"$1,102.72"
02/22/2025,Petal & Stem Florals,deposit,Amex x1008,Payment,"$1,034.28"
02/23/2025,Tentline Crew LLC,setup/teardown,Visa x4417,Payment,"$1,124.87"
02/25/2025,Hollis Tent Repair,balance due,Check #2302,Payment,"$1,563.98"
03/01/2025,Riverbank Sound,balance due,ACH,Payment,$595.12
03/03/2025,Tentline Crew LLC,crew labor,Check #2137,Payment,$383.20
03/05/2025,Summit Forklift Rental,deposit,ACH,Payment,$453.72
03/07/2025,Bello Event Design,crew labor,ACH,Payment,"$1,643.02"
03/10/2025,Northbeat DJ Services,invoice,ACH,Payment,$379.41
03/11/2025,Cascade Staging Partners,rental support,Wire out,Payment,"$1,508.23"
03/15/2025,Summit Forklift Rental,setup/teardown,Amex x1008,Payment,"$1,492.16"
03/16/2025,Graystone Portable Toilets,deposit,Check #2705,Payment,"$1,824.75"
03/18/2025,Bello Event Design,deposit,ACH,Payment,"$2,278.98"
03/19/2025,Mensah Mobile Welding,setup/teardown,Zelle,Payment,$258.74
03/19/2025,Riverbank Sound,invoice,ACH,Payment,$527.21
03/19/2025,Tallyrun Payroll,monthly,ACH,Payment,"$1,481.08"
03/20/2025,Mensah Mobile Welding,balance due,Amex x1008,Payment,"$2,093.43"
03/20/2025,Oak & Ember Catering,setup/teardown,ACH,Payment,$778.56
03/21/2025,Cascade Staging Partners,crew labor,Wire out,Payment,$405.29
03/21/2025,Hollis Tent Repair,event services,ACH,Payment,$982.85
03/27/2025,Google Workspace,monthly,Amex x1008,Payment,"$1,177.88"
03/27/2025,Summit Forklift Rental,event services,ACH,Payment,"$2,157.35"
03/29/2025,Hollis Tent Repair,deposit,ACH,Payment,"$1,479.21"
03/31/2025,Tentline Crew LLC,rental support,ACH,Payment,"$1,005.97"
04/05/2025,Harborside Linen,balance due,Check #2162,Payment,$957.65
04/07/2025,Marisol Vega,repairs,Amex x1008,Payment,$717.48
04/07/2025,Tanaka Valet,deposit,Check #2886,Payment,"$2,240.76"
04/07/2025,Tentline Crew LLC,event services,ACH,Payment,"$2,313.49"
04/08/2025,Home Depot,monthly,Amex x1008,Payment,"$1,220.83"
04/08/2025,Home Depot,monthly,Amex x1008,Payment,"$1,471.23"
04/09/2025,Tentline Crew LLC,event services,ACH,Payment,$456.27
04/09/2025,Tomasz Kowalczyk,crew labor,Zelle,Payment,"$1,332.20"
04/10/2025,Tallyrun Payroll,monthly,ACH,Payment,$417.98
04/10/2025,Tomasz Kowalczyk,rental support,Check #2566,Payment,"$1,166.97"
04/14/2025,Petal & Stem Florals,repairs,Amex x1008,Payment,"$1,973.26"
04/16/2025,Hollis Tent Repair,event services,ACH,Payment,"$1,850.41"
04/17/2025,Home Depot,monthly,Visa x4417,Payment,"$1,914.11"
04/18/2025,Dana Whitfield,setup/teardown,Venmo Business,Payment,"$1,838.26"
04/19/2025,Bello Event Design,crew labor,Visa x4417,Payment,"$2,163.43"
04/19/2025,Hollis Tent Repair,crew labor,ACH,Payment,"$1,063.46"
04/25/2025,Home Depot,monthly,Visa x4417,Payment,"$2,564.26"
04/25/2025,Mensah Mobile Welding,rental support,Check #2109,Payment,"$1,385.04"
04/25/2025,Tentline Crew LLC,crew labor,Visa x4417,Payment,"$2,078.82"
04/29/2025,Tallyrun Payroll,monthly,ACH,Payment,$527.51
05/01/2025,Bello Event Design,event services,Check #2474,Payment,$574.96
05/01/2025,Tanaka Valet,deposit,Zelle,Payment,"$1,284.85"
05/02/2025,Home Depot,monthly,Amex x1008,Payment,"$1,989.53"
05/03/2025,Northbeat DJ Services,repairs,Zelle,Payment,"$1,338.37"
05/05/2025,Oak & Ember Catering,crew labor,ACH,Payment,"$1,241.30"
05/07/2025,Riverbank Sound,repairs,ACH,Payment,$881.28
05/09/2025,Tanaka Valet,balance due,PayPal,Payment,"$1,138.41"
05/11/2025,Harborside Linen,event services,ACH,Payment,$939.93
05/12/2025,Tanaka Valet,rental support,PayPal,Payment,$406.51
05/15/2025,Ortiz Lighting & Rigging,rental support,Check #2671,Payment,$636.73
05/15/2025,Riverbank Sound,invoice,ACH,Payment,"$1,750.61"
05/17/2025,Dana Whitfield,setup/teardown,ACH,Payment,$325.68
05/19/2025,Google Workspace,monthly,Amex x1008,Payment,$221.35
05/21/2025,Northbeat DJ Services,event services,ACH,Payment,$215.98
05/25/2025,Ortiz Lighting & Rigging,crew labor,Check #2119,Payment,"$2,115.54"
05/26/2025,Ortiz Lighting & Rigging,invoice,Zelle,Payment,"$2,119.51"
05/27/2025,Summit Forklift Rental,invoice,Amex x1008,Payment,"$2,091.29"
06/01/2025,Oak & Ember Catering,crew labor,ACH,Payment,"$1,013.79"
06/02/2025,Tanaka Valet,crew labor,PayPal,Payment,"$1,856.18"
06/03/2025,Riverbank Sound,rental support,ACH,Payment,"$2,313.21"
06/05/2025,Graystone Portable Toilets,deposit,ACH,Payment,$473.09
06/05/2025,Pacific Gas & Power,monthly,ACH,Payment,$534.14
06/11/2025,Bayview Generator Svc,crew labor,Check #2578,Payment,"$1,277.97"
06/14/2025,Mensah Mobile Welding,rental support,Amex x1008,Payment,"$1,746.42"
06/15/2025,Vega Frames Photography,balance due,Check #2620,Payment,$358.59
06/16/2025,Graystone Portable Toilets,repairs,Check #2551,Payment,$198.71
06/17/2025,Hollis Tent Repair,balance due,ACH,Payment,"$1,688.09"
06/20/2025,Oak & Ember Catering,deposit,Check #2406,Payment,"$1,075.04"
06/21/2025,Tallyrun Payroll,monthly,ACH,Payment,"$1,284.64"
06/22/2025,Oak & Ember Catering,rental support,ACH,Payment,$515.27
06/23/2025,Cascade Staging Partners,crew labor,Wire out,Payment,$710.47
06/23/2025,Northbeat DJ Services,repairs,Zelle,Payment,"$1,483.31"
06/23/2025,Ridgeway Party Supply,crew labor,Amex x1008,Payment,"$1,826.30"
06/25/2025,Oak & Ember Catering,crew labor,Check #2898,Payment,"$1,775.07"
06/26/2025,Summit Forklift Rental,event services,Amex x1008,Payment,$858.44
06/27/2025,Petal & Stem Florals,event services,PayPal,Payment,$928.32
