"Submission ID","Submitted","Line 1 - Name (as shown on your income tax return)","Line 2 - Business name/disregarded entity name","Line 3a - Federal tax classification","LLC tax classification (C, S, or P)","TIN type","TIN","City, State"
"W9-3170","2024-02-12 10:04","Luis Ortiz","Ortiz Lighting & Rigging","Individual/sole proprietor or single-member LLC","","SSN","***-**-5105","Tucson, AZ"
"W9-3174","2024-03-02 10:26","Aisha Bello","Bello Event Design","Individual/sole proprietor or single-member LLC","","SSN","***-**-7535","Columbus, OH"
"W9-3178","2024-05-04 03:15","Graystone Portable Toilets Inc.","","C corporation","","EIN","**-***6329","Tucson, AZ"
"W9-3182","2024-06-04 12:16","Tomasz Kowalczyk","","Individual/sole proprietor or single-member LLC","","SSN","***-**-1231","Tucson, AZ"
"W9-3186","2024-06-06 10:33","Bayview Generator Service Inc","","S corporation","","EIN","**-***3290","Sacramento, CA"
"W9-3190","2024-07-21 04:48","Ridgeway Party Supply, Inc.","","C corporation","","EIN","**-***9269","Omaha, NE"
"W9-3194","2024-09-26 09:25","Kwame Mensah","Mensah Mobile Welding","Individual/sole proprietor or single-member LLC","","SSN","***-**-6181","Asheville, NC"
"W9-3198","2024-10-31 13:42","Hiroshi Tanaka","Tanaka Valet","Individual/sole proprietor or single-member LLC","","SSN","***-**-4633","Boise, ID"
"W9-3202","2024-11-22 01:03","Cascade Staging Partners","","Partnership","","EIN","**-***9542","Sacramento, CA"
"W9-3206","2025-01-05 08:08","Tentline Crew LLC","","Limited liability company","P","EIN","**-***7635","Richmond, VA"
"W9-3210","2025-01-08 09:40","Oak & Ember Catering","","C corporation","","EIN","**-***6082","Providence, RI"
"W9-3214","2025-01-09 08:15","Oak & Ember Catering","","Partnership","","EIN","**-***6082","Boise, ID"
"W9-3218","2025-02-02 08:03","Priya Raman","Petal & Stem Florals","Individual/sole proprietor or single-member LLC","","SSN","***-**-2209","Madison, WI"
"W9-3222","2025-02-05 04:09","Riverbank Sound LLC","","Limited liability company","P","EIN","**-***9087","Tucson, AZ"
"W9-3226","2025-02-26 07:24","Hollis Tent Repair","","Partnership","","EIN","**-***2650","Ann Arbor, MI"
"W9-3230","2025-05-05 00:41","Marisol Vega","Vega Frames Photography","Individual/sole proprietor or single-member LLC","","SSN","***-**-7312","Raleigh, NC"
"W9-3234","2025-05-19 15:22","Ortiz Lighting & Rigging Inc","","S corporation","","EIN","**-***3408","Denver, CO"
"W9-3238","2025-05-28 14:46","Dana Whitfield","","Individual/sole proprietor or single-member LLC","","SSN","***-**-8816","Columbus, OH"
"W9-3242","2025-08-06 08:17","Northbeat DJ Services LLC","","Individual/sole proprietor or single-member LLC","","EIN","**-***5243","Austin, TX"
"W9-3246","2025-09-08 07:38","Summit Forklift Rental LLC","","Limited liability company","C","EIN","**-***3335","Providence, RI"
"W9-3250","2025-10-19 03:43","Harborside Linen LLC","Harborside Linen","Limited liability company","S","EIN","**-***6867","Savannah, GA"
