volunteer_id,volunteer_name,pantry_hours,meal_delivery_hours,overnight_shelter_hours,tutoring_hours,total_hours
V-1041,Nicholas Brooks,0.00,0.00,59.25,0.00,59.25
V-1051,Donald Ramirez,0.00,11.00,30.00,0.00,41.00
V-1052,Stephanie Alvarez,0.00,0.00,29.50,0.00,29.50
V-1055,Dmitri Chavez,0.00,0.00,30.25,13.25,43.50
V-1060,Kevin Diaz,0.00,0.00,59.25,0.00,59.25
V-1061,Joseph Rogers,19.50,0.00,0.00,0.00,19.50
V-1066,Timothy Foster,16.75,0.00,0.00,0.00,16.75
V-1068,Steven King,22.75,0.00,0.00,0.00,22.75
V-1070,Kevin Young,8.25,0.00,60.50,0.00,68.75
V-1073,Dorothy Martinez,18.00,0.00,0.00,0.00,18.00
V-1081,Jennifer Kim,0.00,0.00,0.00,12.00,12.00
V-1083,Sofia Gonzalez,0.00,0.00,39.50,0.00,39.50
V-1086,Joshua Morris,0.00,0.00,30.50,0.00,30.50
V-1090,Marcus Thomas,0.00,0.00,0.00,5.50,5.50
V-1093,Jennifer Richardson,0.00,0.00,28.50,0.00,28.50
V-1096,Anna Ruiz,20.50,11.25,0.00,0.00,31.75
V-1098,Rebecca Garcia,0.00,0.00,0.00,8.50,8.50
V-1100,Gary Ramos,0.00,0.00,29.25,0.00,29.25
V-1104,Dorothy Parker,0.00,0.00,59.50,0.00,59.50
V-1108,Mark Walker,7.50,0.00,0.00,0.00,7.50
V-1111,Christopher Castillo,0.00,19.50,0.00,0.00,19.50
