Entry,Shift date,Name,Program,In,Out
K58210,2026-07-01,C. Thompson,Meal Delivery,10:30,13:30
K58211,2026-07-01,chloe thompson,Meal Delivery,10:30,13:30
K58212,2026-07-03,CHRISTOPHER CASTILLO,Meal Delivery,10:30,13:15
K58213,2026-07-03,DONALD RAMIREZ,Overnight Shelter,20:45,06:45
K58214,2026-07-03,KEVIN DIAZ,Overnight Shelter,20:45,06:30
K58215,2026-07-03,Sofia Gonzalez,Overnight Shelter,21:00,07:15
K58216,2026-07-03,"  Young, Kevin",Overnight Shelter,21:00,07:00
K58217,2026-07-04,steven king,Food Pantry,09:15,11:45
K58218,2026-07-04,Stephanie Alvarez,Overnight Shelter,20:45,07:00
K58219,2026-07-04,Stephanie Alvarez,Overnight Shelter,20:45,07:00
K58220,2026-07-06,Jen Kim,Youth Tutoring,15:15,17:30
K58221,2026-07-07,ANNA RUIZ,Food Pantry,09:00,12:00
K58222,2026-07-08,"Ruiz, Anna",Meal Delivery,10:15,13:30
K58223,2026-07-08,Donald Ramirez,Meal Delivery,10:30,13:30
K58224,2026-07-08,REBECCA GARCIA,Youth Tutoring,15:30,17:00
K58225,2026-07-08,Dmitri Chavez,Youth Tutoring,16:00,17:30
K58226,2026-07-09,Tim  Foster,Food Pantry,09:00,11:45
K58227,2026-07-09,Timothy Foster,Food Pantry,09:00,11:45
K58228,2026-07-10,Nicholas Brooks,Overnight Shelter,21:30,06:45
K58229,2026-07-11,"King, Steven",Food Pantry,08:45,12:15
K58230,2026-07-11,T. Foster,Food Pantry,08:45,12:15
K58231,2026-07-11,Dorothy Martinez,Food Pantry,09:15,12:15
K58232,2026-07-11,KEVIN DIAZ,Overnight Shelter,21:00,06:30
K58233,2026-07-13,"KIM, JEN",Youth Tutoring,15:15,17:15
K58234,2026-07-13,Dmitri Chavez,Youth Tutoring,15:30,17:30
K58235,2026-07-14,Anna Ruiz,Food Pantry,09:00,12:00
K58236,2026-07-16,DOROTHY MYERS,Food Pantry,09:00,12:00
K58237,2026-07-16,Joseph Rogers,Food Pantry,09:15,12:00
K58238,2026-07-17,kevin diaz,Overnight Shelter,20:45,07:00
K58239,2026-07-17,kevin diaz,Overnight Shelter,20:45,07:00
K58240,2026-07-17,DOT PARKER,Overnight Shelter,20:45,07:00
K58241,2026-07-17,JENNIFER RICHARDSON,Overnight Shelter,21:00,06:30
K58242,2026-07-17,JOSHUA MORRIS,Overnight Shelter,21:00,07:00
K58243,2026-07-17,Linda Haddad,Overnight Shelter,21:00,07:00
