Email Address,Source,Status,Optin Time
cynthia.perez@icloud.com,In-store tablet,subscribed,2026-08-01 00:46
joshua_nelson@icloud.com,Eye exam booking,unsubscribed,2026-08-01 04:20
gbailey@gmail.com,Checkout,subscribed,2026-08-01 05:24
susan.turner@yahoo.com,Checkout,subscribed,2026-08-01 10:01
nadiaanderson79@hotmail.com,Checkout,subscribed,2026-08-02 00:56
bettygreen31@hotmail.com,In-store tablet,subscribed,2026-08-02 05:36
kimberly_osei@yahoo.com,Eye exam booking,subscribed,2026-08-02 11:10
rogers.ashley@yahoo.com,Eye exam booking,subscribed,2026-08-02 16:54
susan_scott@aol.com,Checkout,subscribed,2026-08-02 22:00
davidflores50@gmail.com,Footer form,subscribed,2026-08-03 04:34
laura_turner@gmail.com,In-store tablet,subscribed,2026-08-03 07:30
bparker@outlook.com,Eye exam booking,subscribed,2026-08-04 02:52
timothy.cruz@gmail.com,Checkout,subscribed,2026-08-04 03:10
pcollins@protonmail.com,In-store tablet,subscribed,2026-08-04 14:31
rahul.king@icloud.com,Footer form,subscribed,2026-08-04 14:35
rogers.matthew@me.com,Footer form,subscribed,2026-08-04 20:49
chloe.stewart@aol.com,Eye exam booking,subscribed,2026-08-05 01:36
rodriguez.tomasz@aol.com,Footer form,subscribed,2026-08-05 03:24
markjohnson50@outlook.com,Checkout,subscribed,2026-08-05 15:21
marcusnelson51@aol.com,Footer form,subscribed,2026-08-06 08:32
lopez.charles@aol.com,Footer form,subscribed,2026-08-06 09:25
elizabethbrooks13@hotmail.com,Eye exam booking,subscribed,2026-08-06 09:48
jacob_osei@yahoo.com,Footer form,subscribed,2026-08-06 13:49
barbara_stewart@yahoo.com,Footer form,unsubscribed,2026-08-06 15:58
lgomez@hotmail.com,In-store tablet,subscribed,2026-08-06 21:37
fatimadiaz84@icloud.com,Footer form,subscribed,2026-08-07 07:52
mateo_brown@icloud.com,Footer form,subscribed,2026-08-07 10:36
sandra.white@me.com,Footer form,subscribed,2026-08-07 13:54
rahulmendoza29@protonmail.com,In-store tablet,subscribed,2026-08-07 17:32
sandralee68@gmail.com,In-store tablet,subscribed,2026-08-08 01:04
dyoung@me.com,In-store tablet,subscribed,2026-08-08 01:21
wkim@outlook.com,Checkout,subscribed,2026-08-08 10:34
morris.dmitri@icloud.com,In-store tablet,subscribed,2026-08-09 03:31
ramirez.kimberly@outlook.com,Checkout,subscribed,2026-08-09 15:27
rebeccawright58@protonmail.com,In-store tablet,subscribed,2026-08-10 09:48
omar.bailey@me.com,Checkout,cleaned,2026-08-10 18:03
sarahbaker77@aol.com,In-store tablet,subscribed,2026-08-10 19:19
wood.amanda@hotmail.com,Checkout,subscribed,2026-08-12 11:45
sturner@hotmail.com,In-store tablet,subscribed,2026-08-12 13:49
diaz.deborah@gmail.com,Eye exam booking,subscribed,2026-08-12 13:53
shirley.baker@outlook.com,Eye exam booking,subscribed,2026-08-13 09:07
timothy.cox@hotmail.com,In-store tablet,subscribed,2026-08-13 19:23
sharon_nguyen@outlook.com,Footer form,subscribed,2026-08-14 09:25
ronald.miller@protonmail.com,Eye exam booking,subscribed,2026-08-15 05:19
elizabeth.parker@yahoo.com,Footer form,subscribed,2026-08-15 05:22
nguyen.susan@protonmail.com,Eye exam booking,subscribed,2026-08-15 06:13
nancyparker60@outlook.com,In-store tablet,subscribed,2026-08-16 01:45
barbara.lewis@yahoo.com,Checkout,subscribed,2026-08-16 13:25
charleswright79@icloud.com,In-store tablet,subscribed,2026-08-16 18:07
donald.patel@outlook.com,Eye exam booking,subscribed,2026-08-16 19:03
karen.perez@outlook.com,Eye exam booking,subscribed,2026-08-16 23:09
carlosrobinson90@aol.com,Eye exam booking,subscribed,2026-08-17 03:29
cynthiawilliams62@outlook.com,Checkout,subscribed,2026-08-17 09:20
robert.phillips@aol.com,In-store tablet,subscribed,2026-08-17 21:50
miller.nicholas@gmail.com,Checkout,subscribed,2026-08-18 00:22
chavez.betty@protonmail.com,Checkout,subscribed,2026-08-18 09:19
donald.lewis@outlook.com,In-store tablet,subscribed,2026-08-19 13:53
paul_hernandez@aol.com,Eye exam booking,subscribed,2026-08-21 19:36
scampbell@hotmail.com,Checkout,subscribed,2026-08-22 06:35
martinez.luis@gmail.com,Checkout,subscribed,2026-08-22 15:17
