Order Number,Order Date,Order Status,Payment Method Title,Customer Name,Billing State,SKU,Item Name,Product Categories,Quantity,Item Cost,Line Subtotal,Cart Discount,Order Shipping,Order Tax,Order Total,Refund Amount,Refund Date
10886,2026-08-01 07:47:00,cancelled,Credit Card (Stripe),Deborah Okafor,AZ,SUB-2BAG,Coffee Subscription - 2 bags/mo,"Coffee > Blends, Subscriptions",1,34.00,34.00,0.00,7.95,0.00,41.95,,
10887,2026-08-01 18:27:00,completed,Direct bank transfer,Rebecca Garcia,CO,COF-NOE-12,Night Owl Espresso Blend - 12oz,Coffee > Blends,1,16.50,16.50,0.00,7.95,0.68,25.13,,
10888,2026-08-02 06:45:00,completed,Credit Card (Stripe),Kimberly Rogers,CO,EQP-KETTLE,Gooseneck Kettle,Brewing Equipment,1,64.00,64.00,0.00,0.00,4.04,102.54,,
10888,2026-08-02 06:45:00,completed,Credit Card (Stripe),Kimberly Rogers,CO,COF-ETH-12,Ethiopia Guji - 12oz,Coffee > Single Origin,1,19.50,19.50,0.00,0.00,4.04,102.54,,
10888,2026-08-02 06:45:00,completed,Credit Card (Stripe),Kimberly Rogers,CO,EQP-FILT,Paper Filters (100),Brewing Equipment,2,7.50,15.00,0.00,0.00,4.04,102.54,,
10889,2026-08-02 20:50:00,completed,Credit Card (Stripe),Gary Phillips,OR,SUB-1BAG,Coffee Subscription - 1 bag/mo,"Coffee > Single Origin, Subscriptions",1,18.00,18.00,0.00,7.95,0.00,25.95,,
10890,2026-08-03 04:56:00,on-hold,Direct bank transfer,Joshua Morris,UT,COF-KEN-12,Kenya Nyeri - 12oz,Coffee > Single Origin,1,21.00,21.00,0.00,0.00,0.00,214.50,,
10890,2026-08-03 04:56:00,on-hold,Direct bank transfer,Joshua Morris,UT,MER-TOTE,Canvas Tote,Merch,1,22.00,22.00,0.00,0.00,0.00,214.50,,
10890,2026-08-03 04:56:00,on-hold,Direct bank transfer,Joshua Morris,UT,COF-DEC-12,Decaf Swiss Water - 12oz,Coffee > Single Origin,3,17.50,52.50,0.00,0.00,0.00,214.50,,
10890,2026-08-03 04:56:00,on-hold,Direct bank transfer,Joshua Morris,UT,EQP-GRIND,Hand Burr Grinder,Brewing Equipment,1,119.00,119.00,0.00,0.00,0.00,214.50,,
10891,2026-08-03 16:09:00,completed,Credit Card (Stripe),Dorothy Howard,NY,EQP-DRIP,Pour-over Dripper,Brewing Equipment,1,28.00,28.00,20.00,0.00,0.00,180.00,,
10891,2026-08-03 16:09:00,completed,Credit Card (Stripe),Dorothy Howard,NY,EQP-FILT,Paper Filters (100),Brewing Equipment,2,7.50,15.00,20.00,0.00,0.00,180.00,,
10891,2026-08-03 16:09:00,completed,Credit Card (Stripe),Dorothy Howard,NY,EQP-GRIND,Hand Burr Grinder,Brewing Equipment,1,119.00,119.00,20.00,0.00,0.00,180.00,,
10891,2026-08-03 16:09:00,completed,Credit Card (Stripe),Dorothy Howard,NY,COF-HSE-2LB,House Blend - 2lb,Coffee > Blends,1,38.00,38.00,20.00,0.00,0.00,180.00,,
10892,2026-08-04 03:46:00,completed,PayPal,Margaret Cook,NY,COF-COL-12,Colombia Huila - 12oz,Coffee > Single Origin,3,18.00,54.00,0.00,0.00,0.00,109.00,,
10892,2026-08-04 03:46:00,completed,PayPal,Margaret Cook,NY,COF-DEC-12,Decaf Swiss Water - 12oz,Coffee > Single Origin,1,17.50,17.50,0.00,0.00,0.00,109.00,,
10892,2026-08-04 03:46:00,completed,PayPal,Margaret Cook,NY,SUB-1BAG,Coffee Subscription - 1 bag/mo,"Coffee > Single Origin, Subscriptions",1,18.00,18.00,0.00,0.00,0.00,109.00,,
10892,2026-08-04 03:46:00,completed,PayPal,Margaret Cook,NY,COF-ETH-12,Ethiopia Guji - 12oz,Coffee > Single Origin,1,19.50,19.50,0.00,0.00,0.00,109.00,,
